TOP,SCORE,ARM_CODART,ART_NOMBRE,PRINCIPIO_ACTIVO,FRACCION_MEDINA,COD_PROD_DIGEMID,NOMBRE_DIGEMID,CONCENT_DIGEMID,IFA_DIGEMID,FRACCION_DIGEMID
1,0.9949,219519.0,CEFALOGEN 1gr INTRAMUSCULAR AMP,CEFTRIAXONA AMPOLLA,1.0,44034,CEFALOGEN,1 g,CEFTRIAXONA SODICA HEMIHEPTAHIDRATO,1
2,0.9949,219519.0,CEFALOGEN 1gr INTRAMUSCULAR AMP,CEFTRIAXONA AMPOLLA,1.0,44035,CEFALOGEN,1 g,CEFTRIAXONA SODICA HEMIHEPTAHIDRATO,1
3,0.906,219519.0,CEFALOGEN 1gr INTRAMUSCULAR AMP,CEFTRIAXONA AMPOLLA,1.0,51710,CEFALOGEN,500 mg,CEFTRIAXONA + LIDOCAINA CLORHIDRATO,1
1,0.8043,221677.0,DIANE 35 GRG x 21,<NINGUNO>,1.0,52454,DIANE 35,2 mg + 0.035 mg,CIPROTERONA ACETATO + ETINILESTRADIOL,1
2,0.8043,221677.0,DIANE 35 GRG x 21,<NINGUNO>,1.0,61013,DIANE 35,2 mg + 0.035 mg,CIPROTERONA ACETATO + ETINILESTRADIOL,1
3,0.8043,221677.0,DIANE 35 GRG x 21,<NINGUNO>,1.0,61596,DIANE 35,2 mg + 0.035 mg,CIPROTERONA ACETATO + ETINILESTRADIOL,1
1,1.0364,228519.0,ANTALGINA 500mg TAB x 100 - SANITAS,METAMIZOL TABLETAS,100.0,60043,ANTALGINA,500 mg,METAMIZOL SODICO MONOHIDRATO,100
2,0.9474,228519.0,ANTALGINA 500mg TAB x 100 - SANITAS,METAMIZOL TABLETAS,100.0,61753,ANTALGINA,500 mg/ mL,METAMIZOL SODICO MONOHIDRATO,1
3,0.9045,228519.0,ANTALGINA 500mg TAB x 100 - SANITAS,METAMIZOL TABLETAS,100.0,60041,ANTALGINA,250 mg/ 5 mL,METAMIZOL SODICO MONOHIDRATO,1
1,0.8,245940.0,VENTOLIN INHALADOR 200 DOSIS,SALBUTAMOL - AEROSOL,1.0,39747,VENTOLIN,0.5 %,SALBUTAMOL,1
1,0.8318,256205.0,DEQUAZOL 500mg TAB x 20,METRONIDAZOL - TABLETA,20.0,35609,DEQUAZOL ORAL 500,500 mg,METRONIDAZOL,20
