ARM_CODART,ART_NOMBRE,Cod_Prod,Nom_Prod_DIGEMID,Concent_DIGEMID,Score
2624426.0,TALCO TUINIES 100GR,20164,ALDACTONE 100,100 mg,0.62
2625647.0,LINDIOL 1 x 1 TAB,46755,LINDIOL 1,1.5 mg,0.79
2626868.0,BENALGIN B12 x 1 AMP. 1ml,51817,BENALGIN B12,1 mg/ mL,0.77
2627554.0,CORTAFAN FORTE 220mg/5ml SUSP. x 100ml,56939,CORTAFAN FORTE,220 mg/ 5 mL,0.66
2628026.0,VITAMIN B12-INJEKTOPAS 1000UG/ML AMPOLLA,52524,VITAMIN B12- INJEKTOPAS®,1000 mcg/ 1 mL,0.7
2628454.0,DESLORATADINA 5mg x 100 TAB - PORTUGAL,55262,DESLORATADINA,5 mg,0.63
2628561.0,DERMOSUPRIL 0.1% CREMA - MEGALABS,40566,DERMOSUPRIL,0.05 %,0.65
2628668.0,DERMOSUPRIL 0.05% CREMA - MEGALABS,40566,DERMOSUPRIL,0.05 %,0.64
2628775.0,CLOTRIVAL x 20ml GOTAS,10849,TRAMAL GOTAS,100 mg/ mL,0.65
2629033.0,ALERGIS GEL x 20GR,42201,ALERGIS,0.75 %,0.66
2629354.0,SILDEX 50mg x 1 TAB,40673,SILDEX 50,50 mg,0.64
2629461.0,NOVUCOR x 10gr CREMA,51583,NOVUCOR®,1 g + 0.1 g + 0.064 g,0.62
2630512.0,ESPIRONOLACTONA 25mg x 100 TAB - IQFARMA,47620,ESPIRONOLACTONA,25 mg,0.67
2630619.0,FLATUZYM ADVANCE x 150 CAPSULAS,54999,FLATUZYM ADVANCE,50 mg + 13 mg + 24 mg + 5 mg + 50 mg,0.78
2632091.0,EVACUOL PLUS SOL.RECTAL x 133ml,50048,EVACUOL PLUS,16 g + 6 g/ 100 mL,0.67
2632198.0,TAPSIN PLUS ANTIGRIPAL NOCHE x 25 SOBx2,57077,TAPSIN PLUS ANTIGRIPAL NOCHE,325 mg + 2 mg + 5 mg + 10 mg,0.94
2633747.0,CARBAMAZEPINA 200mg x 100 TAB - PORTUGAL,57363,CARBAMAZEPINA,200 mg,0.61
2633854.0,FENAZOPIRIDINA 100mg TAB x 100 - PORTUGAL,57213,FENAZOPIRIDINA,100 mg,0.63
